,Unnamed: 0,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
60,60.0,Calvin Klein Women's Metallic Python Belt With Logo Buckle,https://www.shophive.com/calvin-klein-women-s-metallic-python-belt-with-logo-buckle,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/i/o/iooooo.jpg,"Rs 8,099",None,Fashion,Shophive
61,61.0,Calvin Klein Women's Classic Core Saffiano Belt,https://www.shophive.com/calvin-klein-women-s-classic-core-saffiano-belt-10222,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/b/b/bbbbb_1.jpg,"Rs 8,899",None,Fashion,Shophive
62,62.0,Calvin Klein Women's Logo Plaque Belt,https://www.shophive.com/calvin-klein-women-s-logo-plaque-belt-10223,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/l/l/llkkjj.jpg,"Rs 9,299",None,Fashion,Shophive
63,63.0,Calvin Klein Women's 1 5/8 Inch Centerbuckle Jeans Belt,https://www.shophive.com/calvin-klein-women-s-1-5-8-inch-centerbuckle-jeans-belt,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/a/s/asdd.jpg,"Rs 9,299",None,Fashion,Shophive
64,64.0,"Calvin Klein Womens Black 3"" Interlock Stretch Torto Med- Large",https://www.shophive.com/calvin-klein-womens-black-3-interlock-stretch-torto-med-large,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/7/1/711owzlcrml._ux466_.jpg,"Rs 9,499",None,Fashion,Shophive
65,65.0,"Calvin Klein Women's 3/4"" Reversible Semi 20mm Black Small",https://www.shophive.com/calvin-klein-women-s-3-4-reversible-semi-20mm-black-small,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/6/1/611plsedeql._ux466_.jpg,"Rs 8,999",None,Fashion,Shophive
66,66.0,Calvin Klein Women's Hair Calf Animal Print Belt,https://www.shophive.com/calvin-klein-women-s-hair-calf-animal-print-belt,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/7/1/71vfbyvy_sl._uy679_.jpg,"Rs 8,899",None,Fashion,Shophive
67,67.0,"Calvin Klein 3/4"" Buckle on Reverse Patent Panel Tan /Neon Orange Med",https://www.shophive.com/calvin-klein-3-4-buckle-on-reverse-patent-panel-tan-neon-orange-med,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/6/1/61kgctnu1wl._ux466_.jpg,"Rs 8,099",None,Fashion,Shophive
68,68.0,Calvin Klein Women's Snake Textured Faux Leather Belt,https://www.shophive.com/calvin-klein-women-s-snake-textured-faux-leather-belt,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/5/1/51ggo7vvj7l._uy679_.jpg,"Rs 9,299",None,Fashion,Shophive
69,69.0,"Calvin Klein Women's Belt w Stud Detail, Black",https://www.shophive.com/calvin-klein-women-s-belt-w-stud-detail-black,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/q/w/qwer.jpg,"Rs 8,999",None,Fashion,Shophive
